Patente,Hora,T_viaje,T_viaje_str,Velocidad
MAK333,2019-10-03T07:41:42,122,0:02:02,44.26229508196722
GVO722,2019-10-03T07:41:44,143,0:02:23,37.76223776223777
AD440TW,2019-10-03T07:43:51,121,0:02:01,44.62809917355372
NVS291,2019-10-03T07:43:57,172,0:02:52,31.3953488372093
AA527HN,2019-10-03T07:44:59,202,0:03:22,26.732673267326735
AD615HE,2019-10-03T07:45:10,221,0:03:41,24.43438914027149
LIZ857,2019-10-03T07:45:22,206,0:03:26,26.21359223300971
AC310WW,2019-10-03T07:45:33,240,0:04:00,22.5
PFY293,2019-10-03T07:45:51,156,0:02:36,34.61538461538461
AC823PD,2019-10-03T07:45:52,126,0:02:06,42.85714285714286
AD781EK,2019-10-03T07:45:53,165,0:02:45,32.727272727272734
AC650GI,2019-10-03T07:47:10,196,0:03:16,27.551020408163264
AB303FQ,2019-10-03T07:47:41,222,0:03:42,24.324324324324326
HZH606,2019-10-03T07:47:52,213,0:03:33,25.35211267605634
MWL716,2019-10-03T07:48:57,228,0:03:48,23.684210526315788
OVA391,2019-10-03T07:48:59,198,0:03:18,27.272727272727273
GLC727,2019-10-03T07:49:20,187,0:03:07,28.877005347593585
AD321KR,2019-10-03T07:49:46,255,0:04:15,21.176470588235297
AA042QU,2019-10-03T07:49:51,117,0:01:57,46.15384615384616
AD425VB,2019-10-03T07:50:57,205,0:03:25,26.34146341463415
KKP957,2019-10-03T07:51:00,209,0:03:29,25.83732057416268
IRM908,2019-10-03T07:51:37,216,0:03:36,25.0
AB967ON,2019-10-03T07:51:49,157,0:02:37,34.39490445859873
AC907IZ,2019-10-03T07:51:50,140,0:02:20,38.57142857142857
LIB688,2019-10-03T07:51:52,149,0:02:29,36.241610738255034
PDV399,2019-10-03T07:53:31,225,0:03:45,24.0
LTP535,2019-10-03T07:55:01,281,0:04:41,19.21708185053381
NFC144,2019-10-03T07:55:10,235,0:03:55,22.97872340425532
AC310WG,2019-10-03T07:55:28,231,0:03:51,23.376623376623378
IOL188,2019-10-03T07:56:52,317,0:05:17,17.034700315457414
